time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1696093200,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1696222800,2986.8587132011303,2986.8587132011303,,,,
1696226400,2985.6600777322483,2985.6600777322483,,,,
1696230000,2981.0187594958,2981.0187594958,,,,
1696233600,2968.7939837873973,2968.7939837873973,,,,
1696237200,2971.5955274369885,2971.5955274369885,,,,
1696240800,2974.1005777303485,2974.1005777303485,,,,
1696244400,2978.228565374277,2978.228565374277,,,,
1696248000,2976.8536393784843,2976.8536393784843,,,,
1696251600,2978.164240481081,2978.164240481081,,,,
1696255200,2975.2911086388012,2975.2911086388012,,,,
1696258800,2990.453342177307,2990.453342177307,,,,
1696262400,2990.3860743133755,2990.3860743133755,,,,
1696266000,2990.060014535443,2990.060014535443,,,,
1696269600,2991.4819267183266,2991.4819267183266,,,,
1696273200,2991.1514295653988,2991.1514295653988,,,,
1696305600,2989.861075159428,2989.861075159428,,,,
1696309200,2987.334815201477,2987.334815201477,,,,
1696312800,2986.7881543838485,2986.7881543838485,,,,
1696316400,2971.9663996705963,2971.9663996705963,,,,
1696320000,2964.9869956735743,2964.9869956735743,,,,
1696323600,2990.415167111347,2990.415167111347,,,,
1696327200,2955.320600975847,2955.320600975847,,,,
1696330800,2963.5321549619925,2963.5321549619925,,,,
1696334400,2967.9995264568097,2967.9995264568097,,,,
1696338000,2960.617320961671,2960.617320961671,,,,
1696341600,2958.712323895667,2958.712323895667,,,,
1696345200,2961.654895362027,2961.654895362027,,,,
1696348800,2958.2387806275124,2958.2387806275124,,,,
1696352400,2958.581993775641,2958.581993775641,,,,
1696356000,2960.40239403573,2960.40239403573,,,,
1696359600,2957.0966788247842,2957.0966788247842,,,,
1696392000,2950.237501481013,2950.237501481013,,,,
1696395600,2953.3932466552264,2953.3932466552264,,,,
1696399200,2952.999655313019,2952.999655313019,,,,
1696402800,2964.6748799898023,2964.6748799898023,,,,
1696406400,2968.626705263009,2968.626705263009,,,,
1696410000,2981.00697257919,2981.00697257919,,,,
1696413600,2981.674489474382,2981.674489474382,,,,
1696417200,3000.5799670915744,3000.5799670915744,,,,
1696420800,2997.8808226503497,2997.8808226503497,,,,
1696424400,2988.392104815672,2988.392104815672,,,,
1696428000,2997.922836760783,2997.922836760783,2995.4387604245917,,,
1696431600,3010.600460919058,3010.600460919058,2993.8347281665274,,,
1696435200,3008.6233896253752,3008.6233896253752,,,,
1696438800,3003.385274721698,3003.385274721698,,,,
1696442400,3003.2247009561934,3003.2247009561934,,,,
1696446000,3003.500128481559,3003.500128481559,,,,
1696478400,2996.370573106016,2996.370573106016,,,,
1696482000,2997.8242707341537,2997.8242707341537,,,,
1696485600,3002.416722130038,3002.416722130038,,,,
1696489200,3009.8362522023867,3009.8362522023867,,,,
1696492800,2998.4233405343693,2998.4233405343693,,,,
1696496400,3001.031648209654,3001.031648209654,,,,
1696500000,2988.583595599517,2988.583595599517,,,,
1696503600,2990.4760214056546,2990.4760214056546,,,,
1696507200,2995.34071744912,2995.34071744912,,,,
1696510800,3010.603944227254,3010.603944227254,,,,
1696514400,3018.3926290760573,3018.3926290760573,,,,
1696518000,3013.031272974612,3013.031272974612,,,,
1696521600,3009.9961987450315,3009.9961987450315,,,,
1696525200,3010.0687086633807,3010.0687086633807,,,,
1696528800,3011.1000294267087,3011.1000294267087,,,,
1696532400,3009.223393539103,3009.223393539103,,,,
1696564800,3005.897136129961,3005.897136129961,,,,
